date,Midwest,National,Northeast,South,West,date_period
2022-01-01,16.32216490037051,17.110206958940495,19.884048048725532,13.823956897914178,17.641028237134947,All Results
2022-01-08,19.779722142369778,23.53081405245706,22.09200651387061,24.753049296671612,35.76881327074638,All Results
2022-01-15,17.966369119732267,22.965582073181686,29.0368358518007,18.87780483807662,34.891894290455355,All Results
2022-01-22,16.920891613249655,19.901457064651268,22.596332109639956,17.334435058285706,36.297086314549546,All Results
2022-01-29,11.852896200244466,14.218262288064532,13.597107661385964,14.70602884043376,23.217207681685046,All Results
2022-02-05,8.281920392315136,9.180443161321122,8.761538585931557,8.112464984494654,11.833179216723792,All Results
2022-02-12,5.567824077033309,5.925277340002804,6.82477487614821,4.868609032606048,6.6283044004497755,All Results
2022-02-19,4.017602916310168,3.952853121048272,4.719946466164618,3.8770641901083356,3.6901569412457547,All Results
2022-02-26,2.61338219768926,2.5638498725275243,3.364447534576422,2.3206648517856503,2.3255895467359906,All Results
2022-03-05,1.8642169874033887,1.8614522683315986,2.413702840741707,1.8734848930580088,1.4563804047672033,All Results
2022-03-12,1.7911515165470733,1.4900466009667346,1.4719826676711965,1.3688915319719321,1.0347001789534163,All Results
2022-03-19,1.3634828723887826,1.2223827659912991,1.3662876131193193,1.1041335826066332,0.9097280590991577,All Results
2022-03-26,1.5003239241835122,1.3048270357534015,3.677789816722787,1.0443030596756933,0.917496938126136,All Results
2022-04-02,1.2316667515426423,1.2568441667336532,4.531248281159188,1.2017326817195995,1.0649034245959799,All Results
2022-04-09,1.498204003727984,1.5906555603011046,6.383215555717164,1.4762310588084628,1.3146254752238014,All Results
2022-04-16,2.1216448227185456,2.1088056060124254,5.095375319294923,1.7485824066562394,1.8822850282826071,All Results
2022-04-23,2.9854804444478322,3.202528403781495,7.6521459924245985,2.8743975377928423,2.985208172412159,All Results
2022-04-30,4.344438865975042,3.935465030613461,9.109128573648015,2.9763618311566633,2.6354152580414585,All Results
2022-05-07,5.196701121491733,4.943299633119285,9.183073132915094,4.220087882108425,4.019988844237302,All Results
2022-05-14,6.522595876821915,5.897861027901662,5.788792070026383,4.95155702439534,5.219059012957839,All Results
2022-05-21,6.870502285992916,6.68975809010009,7.199994562187683,6.0071118922779805,6.028034045618584,All Results
2022-05-28,7.406295669285976,7.231548485494729,6.502191671689289,6.88510697917975,8.454304847964869,All Results
2022-06-04,6.860424428148275,7.308914327809221,4.419682899139588,7.0926404056866446,10.048819449757342,All Results
2022-06-11,6.719321043196045,6.773299343541643,3.0780023870937434,6.354762156503874,9.927858934689954,All Results
2022-06-18,6.378288404083396,6.651015565371191,4.455739223728285,5.710152649764929,9.515484596987786,All Results
2022-06-25,6.818346816661899,7.133282654439609,3.232689079316207,6.089863421202109,11.056281155847817,All Results
2022-07-02,7.594944241440571,7.930872880609575,4.278756132497667,6.442385444574361,12.186937980852372,All Results
2022-07-09,9.533335182908129,9.306940988493466,5.080298087161966,7.8612061012002155,12.50993786436033,All Results
2022-07-16,8.66321427510309,9.079451932324618,5.821003232124239,9.23306107918144,11.037505849345925,All Results
2022-07-23,9.635945099607914,9.641240894900164,6.8389817222062605,9.463321219029263,11.165071271274037,All Results
2022-07-30,10.168344329848836,8.865440002075465,5.121971819710249,8.718972480592749,9.37460923406265,All Results
2022-08-06,9.878898380970458,8.040322333945985,5.267254856713153,8.590936423509268,7.415947860605304,All Results
2022-08-13,9.1315732001773,7.293929501865616,6.262172812699718,7.1642728797960595,6.243643798664207,All Results
2022-08-20,8.451787301838056,6.865409048527643,5.8834208234251255,6.44991919507526,5.69436234342895,All Results
2022-08-27,7.906733679499281,6.536411742171018,6.083476563537921,6.460995461544876,5.382645391666876,All Results
2022-09-03,6.527821144609506,5.869140805241848,5.422971920152738,6.212185923435696,4.820765322056213,All Results
2022-09-10,6.320717958292389,5.54751069598975,6.059677446282447,5.870140391592847,4.522958303757628,All Results
2022-09-17,5.7396988899947665,5.142476786077141,6.6480713756678105,4.588129980109488,4.44542516146359,All Results
2022-09-24,4.264187389202823,4.674381675960321,4.701662043872271,4.856175736086965,4.984463261249198,All Results
2022-10-01,3.6427731996149273,3.7502560860530085,6.324499318217038,2.3682806025571077,3.992976976769762,All Results
2022-10-08,4.05265539662889,3.4536564511696723,5.023736620288053,1.9786260362583628,3.666465045514422,All Results
2022-10-15,3.735773045356777,3.379504809909491,6.132418646645823,1.9469899615462642,3.2310893314164835,All Results
2022-10-22,4.416719116126263,3.455076769914127,4.20621228921445,2.09053985835363,3.3720949610066615,All Results
2022-10-29,5.076616647349763,4.0534939698468175,4.809626078433337,2.6899613130525974,3.6202432527894586,All Results
2022-11-05,5.34170968494879,4.1110890488733,4.119087006228148,2.5727474850663934,4.47762299147608,All Results
2022-11-12,5.1400547562511925,4.202311155257586,3.217263071062295,2.3143045391134174,5.283294238715186,All Results
2022-11-19,5.315255212149648,4.68650068292377,3.9323685445771073,2.684109490932389,7.330199314562851,All Results
2022-11-26,6.851350228734539,5.446780446809299,3.985648927142513,3.1936404078678358,8.222011191058042,All Results
2022-12-03,9.4247338421112,8.609552846376232,6.616023003846026,6.910948513553288,11.450529005304325,All Results
2022-12-10,9.53706583363119,8.651607049308447,8.412723609206843,6.4146690048969095,10.519452620108812,All Results
2022-12-17,10.85621917126162,9.099443061422356,8.582833968003376,7.433529099634919,9.25524904706261,All Results
2022-12-24,9.946790787417042,9.474494325577346,8.496145106537032,9.90063089396472,8.999399541330234,All Results
2022-12-31,11.132972150643061,10.752973207533866,10.268277731748736,13.026890059949471,9.227124627015314,All Results
2023-01-07,7.28517219009526,8.248899849500553,7.542015851698132,11.129665555852842,8.003067481317663,All Results
2023-01-14,5.3284355542558375,5.882943545581735,5.804955065009864,6.941474381754544,5.6216263527024255,All Results
2023-01-21,5.116023055177432,5.615188844678766,6.4560289531697,6.75347256131367,4.940253177743787,All Results
2023-01-28,5.724929914692619,5.76444626556395,6.939568542768418,6.760793403538432,4.680794103246241,All Results
2023-02-04,5.628329460298515,6.097941194950247,6.54245883334276,6.776890812059887,6.262043447283466,All Results
2023-02-11,5.941827081105269,6.0256691867710375,4.700530113688998,6.562451995564604,6.71479513954011,All Results
2023-02-18,6.864001254262148,6.310748882920283,5.473625804151598,5.3773252213638045,7.0919313267645245,All Results
2023-02-25,6.443373555476576,5.8560260970972156,5.5199120233202255,4.211387714788438,7.048218131213343,All Results
2023-03-04,5.69325044507896,5.2089995330100445,3.870523431881233,3.884634127627378,6.097946011918599,All Results
2023-03-11,5.694703350742181,4.4507259105786865,2.5912663097451936,2.8049102910888886,5.675680643064364,All Results
2023-03-18,5.7701350607267585,4.70805695136177,3.446988789443636,2.8851061644654155,5.956478734386096,All Results
2023-03-25,5.3580620008097615,4.367506380655917,2.8509592278121567,3.606299195075082,5.260294156933136,All Results
2023-04-01,4.278642291651939,3.46052643677006,1.7588040646993652,2.981633362618169,4.3353321818942945,All Results
2023-04-08,3.9989437343104903,2.899356772072121,1.5180822976767632,2.3664104495054605,3.3955491766431054,All Results
2023-04-15,3.2814538493444827,2.7964647198172967,1.4333481726016004,2.193518115544967,3.3420063562441515,All Results
2023-04-22,3.027137273623414,2.112547402477031,1.0978312825354364,1.757311810222511,2.6393801958737573,All Results
2023-04-29,2.256709179014104,1.8923593183266936,1.2187594799294281,1.7509275580989534,2.1908255578479867,All Results
2023-05-06,2.3056680254258826,2.049387369309628,1.452704143750778,1.9294083365497692,2.488562226208456,All Results
2023-05-13,2.279668000865177,1.947065859202081,1.2411507586805928,1.7679052671918076,2.211763221467696,All Results
2023-05-20,1.8134693135680044,1.6874650906548383,1.0701014588008584,1.5790380854694166,2.1047316466229335,All Results
2023-05-27,1.7425492478192015,1.5726990152402607,1.0839089295372486,1.4744135830362637,1.6795447999057593,All Results
2023-06-03,1.2636465859635995,1.3250843873308304,1.0,1.4720453320709697,1.5528574037263931,All Results
2023-06-10,1.0875920907078924,1.1428854049381398,1.0,1.2966239617396853,1.3940996275339592,All Results
2023-06-17,1.1516835226312647,1.1577125056111428,1.0360355177778522,1.2552515591518412,1.257516871494371,All Results
2023-06-24,1.018245391674021,1.2020161905770423,1.0437961879458368,1.4113100155585685,1.6336974770078931,All Results
2023-07-01,1.181935210432578,1.3671560968645908,1.10145021336695,1.7392950781802021,1.831898254490667,All Results
2023-07-08,1.2938925365678278,1.6347493941644453,1.4024391520345163,2.016307340291344,1.9472053548193375,All Results
2023-07-15,1.3834936353374578,1.8483269506073772,1.8000559223277808,2.043655892485968,2.6469984611574757,All Results
2023-07-22,1.6024827194266005,2.1124733963111044,1.9644713739183874,2.352035138523379,3.435451421604829,All Results
2023-07-29,1.8145439062483246,2.6637665615918036,2.4552954890666188,3.3345687934551873,4.162476009713214,All Results
2023-07-29,1.8145439062483246,2.6637665615918036,2.4552954890666188,3.3345687934551873,4.162476009713214,1 Year
2023-08-05,2.243001890891916,3.2673613827074095,2.7086005789222125,3.9903830662272397,4.72453186105313,All Results
2023-08-05,2.243001890891916,3.2673613827074095,2.7086005789222125,3.9903830662272397,4.72453186105313,1 Year
2023-08-12,2.860055450446379,3.9968408362407875,3.3369103226835364,4.916805431413084,5.581143557470376,All Results
2023-08-12,2.860055450446379,3.9968408362407875,3.3369103226835364,4.916805431413084,5.581143557470376,1 Year
2023-08-19,3.8140188879024866,4.344929797610021,3.1662974960448014,5.642930933866062,5.7667689197133996,All Results
2023-08-19,3.8140188879024866,4.344929797610021,3.1662974960448014,5.642930933866062,5.7667689197133996,1 Year
2023-08-26,4.2287422538881865,4.8623690800734,3.6937715020821673,6.242725957062179,6.015307841928607,All Results
2023-08-26,4.2287422538881865,4.8623690800734,3.6937715020821673,6.242725957062179,6.015307841928607,1 Year
2023-09-02,5.034182098223341,5.67426718100739,4.404553096071979,6.5690086492953785,6.58379180342893,All Results
2023-09-02,5.034182098223341,5.67426718100739,4.404553096071979,6.5690086492953785,6.58379180342893,1 Year
2023-09-09,5.841500875555679,6.265954820629792,5.776029355665513,6.96390528792753,6.492943399024392,All Results
2023-09-09,5.841500875555679,6.265954820629792,5.776029355665513,6.96390528792753,6.492943399024392,1 Year
2023-09-16,5.3336154299965886,5.546932869287066,6.347934587649191,4.931630627523636,5.667882896885864,All Results
2023-09-16,5.3336154299965886,5.546932869287066,6.347934587649191,4.931630627523636,5.667882896885864,1 Year
2023-09-23,5.100747188319115,5.383343919885803,6.018444927774638,4.674914095370121,5.6896239881313715,All Results
2023-09-23,5.100747188319115,5.383343919885803,6.018444927774638,4.674914095370121,5.6896239881313715,1 Year
2023-09-30,4.534550590230594,5.068745532264696,6.784803195333774,3.869026976650479,5.146656195834332,All Results
2023-09-30,4.534550590230594,5.068745532264696,6.784803195333774,3.869026976650479,5.146656195834332,1 Year
2023-10-07,3.873534112111644,4.569189830631273,6.390902552391688,3.333321236350802,4.739530595968828,All Results
2023-10-07,3.873534112111644,4.569189830631273,6.390902552391688,3.333321236350802,4.739530595968828,1 Year
2023-10-14,3.3858835281562714,3.8832560038240795,4.431511258054259,3.3697273830246215,5.258283938091958,All Results
2023-10-14,3.3858835281562714,3.8832560038240795,4.431511258054259,3.3697273830246215,5.258283938091958,1 Year
2023-10-21,3.5748405326495147,3.904751921583431,4.401472022100448,3.085942454124085,5.144879366962816,All Results
2023-10-21,3.5748405326495147,3.904751921583431,4.401472022100448,3.085942454124085,5.144879366962816,1 Year
2023-10-28,4.236694563226484,4.053956742435717,4.18867384544795,3.208910249911657,4.198874623118102,All Results
2023-10-28,4.236694563226484,4.053956742435717,4.18867384544795,3.208910249911657,4.198874623118102,1 Year
2023-11-04,4.535344255240757,4.277109513169403,4.701560335791747,3.2441827411302993,4.225755076134973,All Results
2023-11-04,4.535344255240757,4.277109513169403,4.701560335791747,3.2441827411302993,4.225755076134973,1 Year
2023-11-11,5.720923816717032,4.789598079135201,3.6569004378488934,3.5047961041971383,5.265750336841162,All Results
2023-11-11,5.720923816717032,4.789598079135201,3.6569004378488934,3.5047961041971383,5.265750336841162,1 Year
2023-11-18,6.604773786202184,5.19306950969677,4.424002367789272,3.490922710109335,6.081427111341853,All Results
2023-11-18,6.604773786202184,5.19306950969677,4.424002367789272,3.490922710109335,6.081427111341853,1 Year
2023-11-25,8.094939676244575,5.947591931711259,5.869675802751189,3.8411123529293816,5.173364558246338,All Results
2023-11-25,8.094939676244575,5.947591931711259,5.869675802751189,3.8411123529293816,5.173364558246338,1 Year
2023-12-02,10.859300317528094,7.497140396881778,6.6443258475280995,5.522368424614378,6.332450217636459,All Results
2023-12-02,10.859300317528094,7.497140396881778,6.6443258475280995,5.522368424614378,6.332450217636459,1 Year
2023-12-09,11.218941526700998,8.532490192459386,8.414984975145943,5.578008770869198,7.220268152231631,All Results
2023-12-09,11.218941526700998,8.532490192459386,8.414984975145943,5.578008770869198,7.220268152231631,1 Year
2023-12-16,12.102291414798831,9.765674143390905,10.276840111742779,7.330284163869376,7.702552268535872,All Results
2023-12-16,12.102291414798831,9.765674143390905,10.276840111742779,7.330284163869376,7.702552268535872,1 Year
2023-12-23,12.53511208368285,11.351646955624169,10.77653512160838,10.371843420299346,11.003362754422879,All Results
2023-12-23,12.53511208368285,11.351646955624169,10.77653512160838,10.371843420299346,11.003362754422879,1 Year
2023-12-30,14.96909624526281,13.367470430152926,12.918791583556725,12.920764905137833,11.918120606626518,All Results
2023-12-30,14.96909624526281,13.367470430152926,12.918791583556725,12.920764905137833,11.918120606626518,1 Year
2024-01-06,12.425384741094046,12.779199208389699,12.149683428338124,13.059808238564433,13.574752038615571,All Results
2024-01-06,12.425384741094046,12.779199208389699,12.149683428338124,13.059808238564433,13.574752038615571,1 Year
2024-01-13,11.065585750508362,10.31366731452224,9.430507045671842,10.774653978625913,9.040818685243526,All Results
2024-01-13,11.065585750508362,10.31366731452224,9.430507045671842,10.774653978625913,9.040818685243526,1 Year
2024-01-20,7.77836114467239,8.337805233217397,7.843239063434548,10.468546982371837,8.709357106589602,All Results
2024-01-20,7.77836114467239,8.337805233217397,7.843239063434548,10.468546982371837,8.709357106589602,1 Year
2024-01-27,7.119584275859155,8.088322001868193,8.401018114303413,11.419642526877347,7.552362040270838,All Results
2024-01-27,7.119584275859155,8.088322001868193,8.401018114303413,11.419642526877347,7.552362040270838,1 Year
2024-02-03,6.37041771200914,6.987302954739471,6.46749890473922,10.231928843964386,6.409426926003188,6 Months
2024-02-03,6.37041771200914,6.987302954739471,6.46749890473922,10.231928843964386,6.409426926003188,All Results
2024-02-03,6.37041771200914,6.987302954739471,6.46749890473922,10.231928843964386,6.409426926003188,1 Year
2024-02-10,6.791036727762096,6.870659846365546,5.7014151494267615,9.548446461181882,6.45877617232052,6 Months
2024-02-10,6.791036727762096,6.870659846365546,5.7014151494267615,9.548446461181882,6.45877617232052,All Results
2024-02-10,6.791036727762096,6.870659846365546,5.7014151494267615,9.548446461181882,6.45877617232052,1 Year
2024-02-17,7.157298906276093,6.514155785376818,5.378514409922114,9.47258036595471,5.498642923692492,6 Months
2024-02-17,7.157298906276093,6.514155785376818,5.378514409922114,9.47258036595471,5.498642923692492,All Results
2024-02-17,7.157298906276093,6.514155785376818,5.378514409922114,9.47258036595471,5.498642923692492,1 Year
2024-02-24,6.556736474337541,5.834956567273101,4.2983714857681115,8.817641910813363,4.594098183381394,6 Months
2024-02-24,6.556736474337541,5.834956567273101,4.2983714857681115,8.817641910813363,4.594098183381394,All Results
2024-02-24,6.556736474337541,5.834956567273101,4.2983714857681115,8.817641910813363,4.594098183381394,1 Year
2024-03-02,6.249578641631933,4.9577605360611,3.577327224225451,7.436102963426908,3.5679239037324315,6 Months
2024-03-02,6.249578641631933,4.9577605360611,3.577327224225451,7.436102963426908,3.5679239037324315,All Results
2024-03-02,6.249578641631933,4.9577605360611,3.577327224225451,7.436102963426908,3.5679239037324315,1 Year
2024-03-09,4.691187690828683,4.105723508354359,2.3083260990093124,5.254070686286294,3.3872345677443203,6 Months
2024-03-09,4.691187690828683,4.105723508354359,2.3083260990093124,5.254070686286294,3.3872345677443203,All Results
2024-03-09,4.691187690828683,4.105723508354359,2.3083260990093124,5.254070686286294,3.3872345677443203,1 Year
2024-03-16,3.1763620176309515,2.982911166552733,1.6887554029835645,3.9934776186572263,2.7233098702447074,6 Months
2024-03-16,3.1763620176309515,2.982911166552733,1.6887554029835645,3.9934776186572263,2.7233098702447074,All Results
2024-03-16,3.1763620176309515,2.982911166552733,1.6887554029835645,3.9934776186572263,2.7233098702447074,1 Year
2024-03-23,2.64305361765393,2.517205887328763,1.7826466252270308,3.1053451834245274,2.2819337132291158,6 Months
2024-03-23,2.64305361765393,2.517205887328763,1.7826466252270308,3.1053451834245274,2.2819337132291158,All Results
2024-03-23,2.64305361765393,2.517205887328763,1.7826466252270308,3.1053451834245274,2.2819337132291158,1 Year
2024-03-30,2.6446981777370007,2.4502114040706324,1.7689044648803247,2.7958537910527976,1.7788746892549083,6 Months
2024-03-30,2.6446981777370007,2.4502114040706324,1.7689044648803247,2.7958537910527976,1.7788746892549083,All Results
2024-03-30,2.6446981777370007,2.4502114040706324,1.7689044648803247,2.7958537910527976,1.7788746892549083,1 Year
2024-04-06,2.240559987431393,2.1134729174559026,1.592735908257718,2.6801011293840347,1.7578018232159907,6 Months
2024-04-06,2.240559987431393,2.1134729174559026,1.592735908257718,2.6801011293840347,1.7578018232159907,All Results
2024-04-06,2.240559987431393,2.1134729174559026,1.592735908257718,2.6801011293840347,1.7578018232159907,1 Year
2024-04-13,2.2228396221447637,1.8465510184669296,1.584164937420546,2.0546538582418963,1.3981927338956655,6 Months
2024-04-13,2.2228396221447637,1.8465510184669296,1.584164937420546,2.0546538582418963,1.3981927338956655,All Results
2024-04-13,2.2228396221447637,1.8465510184669296,1.584164937420546,2.0546538582418963,1.3981927338956655,1 Year
2024-04-20,1.7544706459436301,1.5358786207585196,1.4383861865816792,1.599107567534131,1.3195613818988556,6 Months
2024-04-20,1.7544706459436301,1.5358786207585196,1.4383861865816792,1.599107567534131,1.3195613818988556,All Results
2024-04-20,1.7544706459436301,1.5358786207585196,1.4383861865816792,1.599107567534131,1.3195613818988556,1 Year
2024-04-27,1.5173818057720525,1.392378871938742,1.222617125478164,1.3988075697298497,1.3894068898305991,6 Months
2024-04-27,1.5173818057720525,1.392378871938742,1.222617125478164,1.3988075697298497,1.3894068898305991,All Results
2024-04-27,1.5173818057720525,1.392378871938742,1.222617125478164,1.3988075697298497,1.3894068898305991,1 Year
2024-05-04,1.4794688313777855,1.3625088321570578,1.2767277704395787,1.3363573358216874,1.3113456186875903,6 Months
2024-05-04,1.4794688313777855,1.3625088321570578,1.2767277704395787,1.3363573358216874,1.3113456186875903,All Results
2024-05-04,1.4794688313777855,1.3625088321570578,1.2767277704395787,1.3363573358216874,1.3113456186875903,1 Year
2024-05-11,1.3973577631381144,1.393638962215494,1.2550921975069316,1.3332695534422947,1.7260767681619973,6 Months
2024-05-11,1.3973577631381144,1.393638962215494,1.2550921975069316,1.3332695534422947,1.7260767681619973,All Results
2024-05-11,1.3973577631381144,1.393638962215494,1.2550921975069316,1.3332695534422947,1.7260767681619973,1 Year
2024-05-18,1.3674353617727277,1.5625400317615314,1.3272756921010918,1.4346725738619752,2.3048019054286666,6 Months
2024-05-18,1.3674353617727277,1.5625400317615314,1.3272756921010918,1.4346725738619752,2.3048019054286666,All Results
2024-05-18,1.3674353617727277,1.5625400317615314,1.3272756921010918,1.4346725738619752,2.3048019054286666,1 Year
2024-05-25,1.451205153823813,1.6862738022413901,1.3485067532115933,1.5962134691716396,2.8547224457420795,6 Months
2024-05-25,1.451205153823813,1.6862738022413901,1.3485067532115933,1.5962134691716396,2.8547224457420795,All Results
2024-05-25,1.451205153823813,1.6862738022413901,1.3485067532115933,1.5962134691716396,2.8547224457420795,1 Year
2024-06-01,1.7182229466962773,1.9275571789491956,1.3140523898712833,1.8895229903655122,3.561632720185376,6 Months
2024-06-01,1.7182229466962773,1.9275571789491956,1.3140523898712833,1.8895229903655122,3.561632720185376,All Results
2024-06-01,1.7182229466962773,1.9275571789491956,1.3140523898712833,1.8895229903655122,3.561632720185376,1 Year
2024-06-08,1.820737797158459,2.2332277448293043,1.290528090511228,2.061210092707211,4.626131143861255,6 Months
2024-06-08,1.820737797158459,2.2332277448293043,1.290528090511228,2.061210092707211,4.626131143861255,All Results
2024-06-08,1.820737797158459,2.2332277448293043,1.290528090511228,2.061210092707211,4.626131143861255,1 Year
2024-06-15,2.1303293625790913,2.445158262599309,1.6191004436061447,2.444436253074713,4.7989447446851985,6 Months
2024-06-15,2.1303293625790913,2.445158262599309,1.6191004436061447,2.444436253074713,4.7989447446851985,45 Days
2024-06-15,2.1303293625790913,2.445158262599309,1.6191004436061447,2.444436253074713,4.7989447446851985,All Results
2024-06-15,2.1303293625790913,2.445158262599309,1.6191004436061447,2.444436253074713,4.7989447446851985,1 Year
2024-06-22,2.4315849997264927,3.0210609742423555,1.8018645693378612,3.3543393975978093,6.899080645928553,6 Months
2024-06-22,2.4315849997264927,3.0210609742423555,1.8018645693378612,3.3543393975978093,6.899080645928553,45 Days
2024-06-22,2.4315849997264927,3.0210609742423555,1.8018645693378612,3.3543393975978093,6.899080645928553,All Results
2024-06-22,2.4315849997264927,3.0210609742423555,1.8018645693378612,3.3543393975978093,6.899080645928553,1 Year
2024-06-29,2.877520815430737,3.939642687947415,2.658469682067904,4.3686615696752416,7.270301783023092,6 Months
2024-06-29,2.877520815430737,3.939642687947415,2.658469682067904,4.3686615696752416,7.270301783023092,45 Days
2024-06-29,2.877520815430737,3.939642687947415,2.658469682067904,4.3686615696752416,7.270301783023092,All Results
2024-06-29,2.877520815430737,3.939642687947415,2.658469682067904,4.3686615696752416,7.270301783023092,1 Year
2024-07-06,3.236007512873962,4.72288435766814,2.8371863175010543,5.694073452971189,7.656570021972881,6 Months
2024-07-06,3.236007512873962,4.72288435766814,2.8371863175010543,5.694073452971189,7.656570021972881,45 Days
2024-07-06,3.236007512873962,4.72288435766814,2.8371863175010543,5.694073452971189,7.656570021972881,All Results
2024-07-06,3.236007512873962,4.72288435766814,2.8371863175010543,5.694073452971189,7.656570021972881,1 Year
2024-07-13,4.552634526447988,6.1767968386815015,3.4638549270124224,7.3692077830628016,10.600120924565799,6 Months
2024-07-13,4.552634526447988,6.1767968386815015,3.4638549270124224,7.3692077830628016,10.600120924565799,45 Days
2024-07-13,4.552634526447988,6.1767968386815015,3.4638549270124224,7.3692077830628016,10.600120924565799,All Results
2024-07-13,4.552634526447988,6.1767968386815015,3.4638549270124224,7.3692077830628016,10.600120924565799,1 Year
2024-07-20,5.054196299836514,6.521073975502022,4.075556674078876,8.88194615326192,10.402898096252217,6 Months
2024-07-20,5.054196299836514,6.521073975502022,4.075556674078876,8.88194615326192,10.402898096252217,45 Days
2024-07-20,5.054196299836514,6.521073975502022,4.075556674078876,8.88194615326192,10.402898096252217,All Results
2024-07-20,5.054196299836514,6.521073975502022,4.075556674078876,8.88194615326192,10.402898096252217,1 Year
2024-07-27,5.8703149977862195,7.284901970222464,4.460368515576497,10.674482419796616,11.24096006870894,6 Months
2024-07-27,5.8703149977862195,7.284901970222464,4.460368515576497,10.674482419796616,11.24096006870894,45 Days
2024-07-27,5.8703149977862195,7.284901970222464,4.460368515576497,10.674482419796616,11.24096006870894,All Results
2024-07-27,5.8703149977862195,7.284901970222464,4.460368515576497,10.674482419796616,11.24096006870894,1 Year