,alpha
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,3e-06
2020-10-14,1e-05
2020-10-15,2.1e-05
2020-10-16,3.6e-05
2020-10-17,5.4e-05
2020-10-18,7.4e-05
2020-10-19,9.6e-05
2020-10-20,0.00012
2020-10-21,0.000144
2020-10-22,0.000168
2020-10-23,0.000192
2020-10-24,0.000215
2020-10-25,0.000237
2020-10-26,0.000256
2020-10-27,0.000276
2020-10-28,0.000297
2020-10-29,0.000321
2020-10-30,0.000345
2020-10-31,0.000369
2020-11-01,0.000393
2020-11-02,0.000417
2020-11-03,0.000439
2020-11-04,0.000459
2020-11-05,0.000477
2020-11-06,0.000492
2020-11-07,0.000503
2020-11-08,0.00051
2020-11-09,0.000513
2020-11-10,0.000509
2020-11-11,0.000498
2020-11-12,0.000482
2020-11-13,0.000462
2020-11-14,0.000438
2020-11-15,0.000412
2020-11-16,0.000385
2020-11-17,0.000357
2020-11-18,0.000331
2020-11-19,0.000307
2020-11-20,0.000287
2020-11-21,0.000271
2020-11-22,0.00026
2020-11-23,0.000256
2020-11-24,0.000256
2020-11-25,0.000256
2020-11-26,0.000256
2020-11-27,0.000256
2020-11-28,0.000256
2020-11-29,0.000256
2020-11-30,0.000256
2020-12-01,0.000256
2020-12-02,0.000256
2020-12-03,0.000256
2020-12-04,0.000256
2020-12-05,0.000256
2020-12-06,0.000256
2020-12-07,0.000256
2020-12-08,0.000258
2020-12-09,0.000262
2020-12-10,0.000269
2020-12-11,0.000278
2020-12-12,0.000291
2020-12-13,0.000305
2020-12-14,0.000323
2020-12-15,0.000343
2020-12-16,0.000365
2020-12-17,0.00039
2020-12-18,0.000417
2020-12-19,0.000447
2020-12-20,0.000479
2020-12-21,0.000513
2020-12-22,0.000619
2020-12-23,0.000854
2020-12-24,0.001202
2020-12-25,0.001645
2020-12-26,0.002165
2020-12-27,0.002745
2020-12-28,0.003367
2020-12-29,0.004013
2020-12-30,0.004667
2020-12-31,0.005311
2021-01-01,0.005927
2021-01-02,0.006498
2021-01-03,0.007006
2021-01-04,0.007434
2021-01-05,0.007793
2021-01-06,0.008112
2021-01-07,0.0084
2021-01-08,0.008663
2021-01-09,0.008911
2021-01-10,0.009152
2021-01-11,0.009393
2021-01-12,0.009644
2021-01-13,0.009911
2021-01-14,0.010204
2021-01-15,0.01053
2021-01-16,0.010898
2021-01-17,0.011316
2021-01-18,0.011792
2021-01-19,0.01239
2021-01-20,0.013159
2021-01-21,0.014088
2021-01-22,0.015161
2021-01-23,0.016368
2021-01-24,0.017693
2021-01-25,0.019125
2021-01-26,0.02065
2021-01-27,0.022255
2021-01-28,0.023926
2021-01-29,0.025651
2021-01-30,0.027417
2021-01-31,0.02921
2021-02-01,0.031018
2021-02-02,0.032876
2021-02-03,0.034835
2021-02-04,0.036899
2021-02-05,0.039075
2021-02-06,0.041368
2021-02-07,0.043783
2021-02-08,0.046327
2021-02-09,0.049004
2021-02-10,0.05182
2021-02-11,0.054782
2021-02-12,0.057894
2021-02-13,0.061161
2021-02-14,0.064591
2021-02-15,0.068188
2021-02-16,0.072102
2021-02-17,0.07646
2021-02-18,0.081232
2021-02-19,0.086386
2021-02-20,0.091892
2021-02-21,0.097721
2021-02-22,0.10384
2021-02-23,0.11022
2021-02-24,0.116831
2021-02-25,0.123641
2021-02-26,0.130621
2021-02-27,0.137739
2021-02-28,0.144965
2021-03-01,0.152269
2021-03-02,0.159785
2021-03-03,0.16766
2021-03-04,0.175875
2021-03-05,0.184415
2021-03-06,0.193263
2021-03-07,0.202403
2021-03-08,0.211817
2021-03-09,0.22149
2021-03-10,0.231405
2021-03-11,0.241545
2021-03-12,0.251894
2021-03-13,0.262436
2021-03-14,0.273153
2021-03-15,0.28403
2021-03-16,0.295378
2021-03-17,0.307446
2021-03-18,0.320121
2021-03-19,0.333289
2021-03-20,0.346839
2021-03-21,0.360657
2021-03-22,0.374631
2021-03-23,0.388647
2021-03-24,0.402593
2021-03-25,0.416355
2021-03-26,0.429822
2021-03-27,0.442879
2021-03-28,0.455415
2021-03-29,0.467316
2021-03-30,0.478974
2021-03-31,0.490794
2021-04-01,0.502685
2021-04-02,0.514554
2021-04-03,0.52631
2021-04-04,0.537862
2021-04-05,0.549117
2021-04-06,0.559983
2021-04-07,0.57037
2021-04-08,0.580185
2021-04-09,0.589337
2021-04-10,0.597734
2021-04-11,0.605283
2021-04-12,0.611894
2021-04-13,0.617842
2021-04-14,0.623475
2021-04-15,0.62881
2021-04-16,0.633864
2021-04-17,0.638653
2021-04-18,0.643195
2021-04-19,0.647506
2021-04-20,0.651604
2021-04-21,0.655504
2021-04-22,0.659225
2021-04-23,0.662783
2021-04-24,0.666195
2021-04-25,0.669478
2021-04-26,0.672648
2021-04-27,0.675835
2021-04-28,0.679121
2021-04-29,0.682452
2021-04-30,0.685774
2021-05-01,0.689034
2021-05-02,0.692179
2021-05-03,0.695155
2021-05-04,0.697907
2021-05-05,0.700383
2021-05-06,0.702529
2021-05-07,0.704292
2021-05-08,0.705617
2021-05-09,0.706452
2021-05-10,0.706742
2021-05-11,0.706618
2021-05-12,0.706257
2021-05-13,0.705671
2021-05-14,0.704875
2021-05-15,0.703881
2021-05-16,0.702703
2021-05-17,0.701355
2021-05-18,0.69985
2021-05-19,0.698202
2021-05-20,0.696424
2021-05-21,0.69453
2021-05-22,0.692533
2021-05-23,0.690447
2021-05-24,0.688285
2021-05-25,0.685631
2021-05-26,0.682105
2021-05-27,0.677775
2021-05-28,0.672709
2021-05-29,0.666975
2021-05-30,0.660641
2021-05-31,0.653774
2021-06-01,0.646443
2021-06-02,0.638716
2021-06-03,0.63066
2021-06-04,0.622344
2021-06-05,0.613836
2021-06-06,0.605203
2021-06-07,0.596514
2021-06-08,0.587359
2021-06-09,0.577333
2021-06-10,0.566509
2021-06-11,0.554962
2021-06-12,0.542763
2021-06-13,0.529987
2021-06-14,0.516707
2021-06-15,0.502995
2021-06-16,0.488927
2021-06-17,0.474574
2021-06-18,0.460011
2021-06-19,0.44531
2021-06-20,0.430546
2021-06-21,0.415791
2021-06-22,0.400387
2021-06-23,0.383785
2021-06-24,0.366215
2021-06-25,0.347913
2021-06-26,0.32911
2021-06-27,0.310041
2021-06-28,0.290937
2021-06-29,0.272033
2021-06-30,0.253562
2021-07-01,0.235756
2021-07-02,0.218849
2021-07-03,0.203074
2021-07-04,0.188664
2021-07-05,0.175852
2021-07-06,0.163956
2021-07-07,0.152185
2021-07-08,0.140615
2021-07-09,0.129318
2021-07-10,0.11837
2021-07-11,0.107843
2021-07-12,0.097811
2021-07-13,0.088349
2021-07-14,0.079531
2021-07-15,0.07143
2021-07-16,0.064121
2021-07-17,0.057677
2021-07-18,0.052172
2021-07-19,0.04768
2021-07-20,0.043819
2021-07-21,0.040157
2021-07-22,0.036696
2021-07-23,0.033438
2021-07-24,0.030383
2021-07-25,0.027534
2021-07-26,0.024891
2021-07-27,0.022457
2021-07-28,0.020232
2021-07-29,0.018219
2021-07-30,0.016418
2021-07-31,0.014831
2021-08-01,0.013459
2021-08-02,0.012305
2021-08-03,0.011286
2021-08-04,0.010322
2021-08-05,0.009412
2021-08-06,0.008556
2021-08-07,0.007756
2021-08-08,0.007011
2021-08-09,0.006322
2021-08-10,0.005689
2021-08-11,0.005111
2021-08-12,0.00459
2021-08-13,0.004126
2021-08-14,0.003719
2021-08-15,0.003369
2021-08-16,0.003076
2021-08-17,0.002819
2021-08-18,0.002576
2021-08-19,0.002346
2021-08-20,0.00213
2021-08-21,0.001927
2021-08-22,0.00174
2021-08-23,0.001566
2021-08-24,0.001407
2021-08-25,0.001263
2021-08-26,0.001133
2021-08-27,0.001019
2021-08-28,0.00092
2021-08-29,0.000837
2021-08-30,0.000769
2021-08-31,0.00071
2021-09-01,0.000653
2021-09-02,0.000598
2021-09-03,0.000545
2021-09-04,0.000496
2021-09-05,0.00045
2021-09-06,0.000408
2021-09-07,0.00037
2021-09-08,0.000337
2021-09-09,0.000309
2021-09-10,0.000287
2021-09-11,0.00027
2021-09-12,0.00026
2021-09-13,0.000256
2021-09-14,0.000256
2021-09-15,0.000256
2021-09-16,0.000256
2021-09-17,0.000256
2021-09-18,0.000256
2021-09-19,0.000256
2021-09-20,0.000256
2021-09-21,0.000256
2021-09-22,0.000256
2021-09-23,0.000256
2021-09-24,0.000256
2021-09-25,0.000256
2021-09-26,0.000256
2021-09-27,0.000256
2021-09-28,0.000253
2021-09-29,0.000242
2021-09-30,0.000226
2021-10-01,0.000206
2021-10-02,0.000182
2021-10-03,0.000155
2021-10-04,0.000128
2021-10-05,0.000101
2021-10-06,7.5e-05
2021-10-07,5.1e-05
2021-10-08,3e-05
2021-10-09,1.4e-05
2021-10-10,4e-06
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2021-12-01,0.0
2021-12-02,0.0
2021-12-03,0.0
2021-12-04,0.0
2021-12-05,0.0
2021-12-06,0.0
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-11,0.0
2021-12-12,0.0
2021-12-13,0.0
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,0.0
2021-12-25,0.0
2021-12-26,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,0.0
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
