,gamma
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,7e-06
2021-01-06,2.8e-05
2021-01-07,6.1e-05
2021-01-08,0.000102
2021-01-09,0.000149
2021-01-10,0.000202
2021-01-11,0.000256
2021-01-12,0.000311
2021-01-13,0.000363
2021-01-14,0.000411
2021-01-15,0.000452
2021-01-16,0.000484
2021-01-17,0.000505
2021-01-18,0.000513
2021-01-19,0.000505
2021-01-20,0.000484
2021-01-21,0.000452
2021-01-22,0.000411
2021-01-23,0.000363
2021-01-24,0.000311
2021-01-25,0.000256
2021-01-26,0.000202
2021-01-27,0.000149
2021-01-28,0.000102
2021-01-29,6.1e-05
2021-01-30,2.8e-05
2021-01-31,7e-06
2021-02-01,0.0
2021-02-02,2e-06
2021-02-03,7e-06
2021-02-04,1.5e-05
2021-02-05,2.6e-05
2021-02-06,4e-05
2021-02-07,5.6e-05
2021-02-08,7.5e-05
2021-02-09,9.6e-05
2021-02-10,0.000119
2021-02-11,0.000143
2021-02-12,0.00017
2021-02-13,0.000197
2021-02-14,0.000226
2021-02-15,0.000256
2021-02-16,0.000292
2021-02-17,0.000336
2021-02-18,0.00039
2021-02-19,0.000453
2021-02-20,0.000525
2021-02-21,0.000605
2021-02-22,0.000694
2021-02-23,0.000791
2021-02-24,0.000897
2021-02-25,0.00101
2021-02-26,0.001131
2021-02-27,0.001259
2021-02-28,0.001395
2021-03-01,0.001538
2021-03-02,0.001704
2021-03-03,0.001909
2021-03-04,0.00215
2021-03-05,0.002426
2021-03-06,0.002735
2021-03-07,0.003074
2021-03-08,0.003442
2021-03-09,0.003837
2021-03-10,0.004257
2021-03-11,0.0047
2021-03-12,0.005165
2021-03-13,0.005648
2021-03-14,0.006149
2021-03-15,0.006665
2021-03-16,0.007223
2021-03-17,0.007849
2021-03-18,0.008539
2021-03-19,0.009291
2021-03-20,0.010101
2021-03-21,0.010965
2021-03-22,0.011882
2021-03-23,0.012847
2021-03-24,0.013858
2021-03-25,0.014911
2021-03-26,0.016003
2021-03-27,0.017131
2021-03-28,0.018292
2021-03-29,0.019482
2021-03-30,0.020764
2021-03-31,0.022189
2021-04-01,0.023739
2021-04-02,0.025398
2021-04-03,0.027148
2021-04-04,0.028971
2021-04-05,0.03085
2021-04-06,0.032767
2021-04-07,0.034705
2021-04-08,0.036646
2021-04-09,0.038572
2021-04-10,0.040467
2021-04-11,0.042313
2021-04-12,0.044091
2021-04-13,0.045823
2021-04-14,0.047541
2021-04-15,0.049249
2021-04-16,0.050949
2021-04-17,0.052644
2021-04-18,0.054338
2021-04-19,0.056034
2021-04-20,0.057733
2021-04-21,0.05944
2021-04-22,0.061157
2021-04-23,0.062888
2021-04-24,0.064634
2021-04-25,0.0664
2021-04-26,0.068188
2021-04-27,0.070027
2021-04-28,0.071934
2021-04-29,0.073895
2021-04-30,0.075893
2021-05-01,0.077913
2021-05-02,0.079941
2021-05-03,0.081961
2021-05-04,0.083958
2021-05-05,0.085916
2021-05-06,0.08782
2021-05-07,0.089654
2021-05-08,0.091405
2021-05-09,0.093055
2021-05-10,0.094591
2021-05-11,0.096026
2021-05-12,0.09739
2021-05-13,0.098693
2021-05-14,0.099943
2021-05-15,0.101149
2021-05-16,0.102321
2021-05-17,0.103467
2021-05-18,0.104595
2021-05-19,0.105716
2021-05-20,0.106837
2021-05-21,0.107968
2021-05-22,0.109118
2021-05-23,0.110296
2021-05-24,0.11151
2021-05-25,0.112833
2021-05-26,0.114305
2021-05-27,0.115886
2021-05-28,0.117538
2021-05-29,0.119219
2021-05-30,0.120892
2021-05-31,0.122516
2021-06-01,0.124051
2021-06-02,0.125459
2021-06-03,0.126699
2021-06-04,0.127733
2021-06-05,0.12852
2021-06-06,0.129022
2021-06-07,0.129198
2021-06-08,0.129002
2021-06-09,0.128438
2021-06-10,0.127545
2021-06-11,0.126357
2021-06-12,0.124912
2021-06-13,0.123246
2021-06-14,0.121396
2021-06-15,0.1194
2021-06-16,0.117292
2021-06-17,0.115111
2021-06-18,0.112893
2021-06-19,0.110675
2021-06-20,0.108492
2021-06-21,0.106383
2021-06-22,0.104228
2021-06-23,0.101897
2021-06-24,0.099408
2021-06-25,0.096782
2021-06-26,0.094038
2021-06-27,0.091193
2021-06-28,0.088269
2021-06-29,0.085283
2021-06-30,0.082256
2021-07-01,0.079206
2021-07-02,0.076152
2021-07-03,0.073114
2021-07-04,0.070111
2021-07-05,0.067162
2021-07-06,0.064139
2021-07-07,0.06093
2021-07-08,0.057583
2021-07-09,0.054141
2021-07-10,0.050651
2021-07-11,0.047159
2021-07-12,0.04371
2021-07-13,0.04035
2021-07-14,0.037124
2021-07-15,0.034078
2021-07-16,0.031258
2021-07-17,0.02871
2021-07-18,0.026478
2021-07-19,0.024609
2021-07-20,0.022967
2021-07-21,0.021388
2021-07-22,0.019875
2021-07-23,0.018431
2021-07-24,0.017059
2021-07-25,0.015762
2021-07-26,0.014543
2021-07-27,0.013406
2021-07-28,0.012352
2021-07-29,0.011387
2021-07-30,0.010512
2021-07-31,0.00973
2021-08-01,0.009045
2021-08-02,0.008459
2021-08-03,0.007942
2021-08-04,0.007459
2021-08-05,0.007007
2021-08-06,0.006585
2021-08-07,0.006192
2021-08-08,0.005824
2021-08-09,0.00548
2021-08-10,0.005158
2021-08-11,0.004857
2021-08-12,0.004574
2021-08-13,0.004308
2021-08-14,0.004056
2021-08-15,0.003817
2021-08-16,0.003589
2021-08-17,0.003369
2021-08-18,0.003157
2021-08-19,0.002953
2021-08-20,0.002758
2021-08-21,0.00257
2021-08-22,0.002392
2021-08-23,0.002221
2021-08-24,0.00206
2021-08-25,0.001907
2021-08-26,0.001763
2021-08-27,0.001629
2021-08-28,0.001504
2021-08-29,0.001388
2021-08-30,0.001282
2021-08-31,0.001179
2021-09-01,0.001076
2021-09-02,0.000973
2021-09-03,0.000871
2021-09-04,0.000773
2021-09-05,0.000679
2021-09-06,0.000592
2021-09-07,0.000511
2021-09-08,0.000439
2021-09-09,0.000377
2021-09-10,0.000326
2021-09-11,0.000288
2021-09-12,0.000265
2021-09-13,0.000256
2021-09-14,0.000256
2021-09-15,0.000256
2021-09-16,0.000256
2021-09-17,0.000256
2021-09-18,0.000256
2021-09-19,0.000256
2021-09-20,0.000256
2021-09-21,0.000256
2021-09-22,0.000256
2021-09-23,0.000256
2021-09-24,0.000256
2021-09-25,0.000256
2021-09-26,0.000256
2021-09-27,0.000256
2021-09-28,0.000256
2021-09-29,0.000256
2021-09-30,0.000256
2021-10-01,0.000256
2021-10-02,0.000256
2021-10-03,0.000256
2021-10-04,0.000256
2021-10-05,0.000256
2021-10-06,0.000256
2021-10-07,0.000256
2021-10-08,0.000256
2021-10-09,0.000256
2021-10-10,0.000256
2021-10-11,0.000256
2021-10-12,0.000253
2021-10-13,0.000242
2021-10-14,0.000226
2021-10-15,0.000206
2021-10-16,0.000182
2021-10-17,0.000155
2021-10-18,0.000128
2021-10-19,0.000101
2021-10-20,7.5e-05
2021-10-21,5.1e-05
2021-10-22,3e-05
2021-10-23,1.4e-05
2021-10-24,4e-06
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2021-12-01,0.0
2021-12-02,0.0
2021-12-03,0.0
2021-12-04,0.0
2021-12-05,0.0
2021-12-06,0.0
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-11,0.0
2021-12-12,0.0
2021-12-13,0.0
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,0.0
2021-12-25,0.0
2021-12-26,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,0.0
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
